Company_Revenue,Product_Revenue
104967.14153011232,57591.136646915824
112821.19257609078,58282.00992458475
130472.04238284664,49956.07668410403
141293.97201954015,52113.52425489247
123974.70099371206,48329.367864857355
106655.42996788396,48567.700107451295
113672.88579667151,33392.28231218406
99716.93210304044,39827.1199148088
90152.03523152834,39687.65750746926
104207.54567389896,47028.942900028895
118263.05611626957,47360.07720244749
134316.97859265888,41200.60017358641
151276.9158495895,44283.29784738342
130049.80260792136,45309.29954887416
125391.78752326964,55644.458236199614
120733.77243861792,56798.67122478304
103421.88639281568,52549.472992677984
111041.6140779127,40126.54764295829
103629.62208774513,37774.59090326447
113063.1471236459,38669.839354391755
161281.82930320152,45082.037061454605
161934.2569347573,34189.572165927115
159676.2352405903,39181.56778054597
157418.21354642327,44446.71708753039
154208.1383504085,50661.59295885943
144019.01294243793,38537.63366757038
117321.60648564194,57727.52485582909
127700.16362186908,52111.83410526158
125256.38020281312,57423.92512125817
146079.53857404724,33249.68407406143
165114.21782417552,39085.156611013816
208258.6215204676,51588.76557657248
197955.0218283577,34241.099123995395
182831.0206772684,44231.60927702037
186278.8850226953,43796.73420278432
146510.13363570167,42750.17885070904
145940.00593976816,56780.077309967244
120718.43044697188,73181.51391908068
137321.90136628607,61542.11285746695
173709.5338569914,55593.14544424048
203728.2942329087,68892.33264814371
217188.0440818516,50866.37704969413
221023.89673945267,45973.80816772507
211307.64625664745,44852.05185474538
180734.54242003168,45228.69491929514
166664.7943012145,49859.26019598835
154138.88508174007,48169.67144163155
167723.17210016306,38800.48688204936
174252.73879092617,49356.8447597573
177786.0823076405,44213.221653869114
225414.4770635485,60127.600770627476
237417.5499890651,46715.730120496475
238927.9593056616,69807.97482160461
240438.368622258,43027.330940640495
222374.0309013874,40797.62348748326
197753.47638772184,42719.07710389685
165263.29132577893,40743.00083805223
171492.42956782016,26551.01906648365
195281.1623452045,47551.09731265835
195281.1623452045,42097.87728121692
