Date,Prophet_fitted,Prophet_forecast,Prophet_Predicted
2019-01-01,49894.68950021273,,49894.68950021273
2019-02-01,50754.95174991301,,50754.95174991301
2019-03-01,55308.319214394134,,55308.319214394134
2019-04-01,48447.55237867395,,48447.55237867395
2019-05-01,59973.297832208795,,59973.297832208795
2019-06-01,44546.441384066165,,44546.441384066165
2019-07-01,36766.195450025334,,36766.195450025334
2019-08-01,40653.4276098757,,40653.4276098757
2019-09-01,38328.402983035616,,38328.402983035616
2019-10-01,38797.55357041271,,38797.55357041271
2019-11-01,46871.230837642026,,46871.230837642026
2019-12-01,39525.66967848868,,39525.66967848868
2020-01-01,49659.18996916348,,49659.18996916348
2020-02-01,52243.353159961676,,52243.353159961676
2020-03-01,56615.598699086375,,56615.598699086375
2020-04-01,56134.72535971271,,56134.72535971271
2020-05-01,55703.159317583224,,55703.159317583224
2020-06-01,38174.57164197804,,38174.57164197804
2020-07-01,40405.79414799556,,40405.79414799556
2020-08-01,44936.11092153117,,44936.11092153117
2020-09-01,42120.323181613785,,42120.323181613785
2020-10-01,39889.297447410674,,39889.297447410674
2020-11-01,39818.257667941296,,39818.257667941296
2020-12-01,42415.12395818015,,42415.12395818015
2021-01-01,53282.55520199136,,53282.55520199136
2021-02-01,50701.06447670868,,50701.06447670868
2021-03-01,57178.10217790723,,57178.10217790723
2021-04-01,54508.81565912835,,54508.81565912835
2021-05-01,58041.482638441106,,58041.482638441106
2021-06-01,41297.229998539704,,41297.229998539704
2021-07-01,40220.797922620375,,40220.797922620375
2021-08-01,44492.223104820376,,44492.223104820376
2021-09-01,41801.14626635944,,41801.14626635944
2021-10-01,40439.20747505785,,40439.20747505785
2021-11-01,43140.38517925702,,43140.38517925702
2021-12-01,42465.50030713834,,42465.50030713834
2022-01-01,53042.9808328797,,53042.9808328797
2022-02-01,52180.7414148381,,52180.7414148381
2022-03-01,57711.98049159838,,57711.98049159838
2022-04-01,52915.413130655215,,52915.413130655215
2022-05-01,60435.12715679032,,60435.12715679032
2022-06-01,44391.56902478796,,44391.56902478796
2022-07-01,39976.51806777015,,39976.51806777015
2022-08-01,44033.01731161201,,44033.01731161201
2022-09-01,41505.43577716731,,41505.43577716731
2022-10-01,41044.05575972621,,41044.05575972621
2022-11-01,46460.796734232244,,46460.796734232244
2022-12-01,42470.514686004346,,42470.514686004346
2023-01-01,52802.93932220969,,52802.93932220969
2023-02-01,53663.00925420626,,53663.00925420626
2023-03-01,58216.203012364065,,58216.203012364065
2023-04-01,51355.243858885486,,51355.243858885486
2023-05-01,62880.803198479756,,62880.803198479756
2023-06-01,47453.75443256464,,47453.75443256464
2023-07-01,39673.3223845388,,39673.3223845388
2023-08-01,43560.36222653047,,43560.36222653047
2023-09-01,41235.14528180548,,41235.14528180548
2023-10-01,41704.10975499907,,41704.10975499907
2023-11-01,49777.59470422759,,49777.59470422759
2023-12-01,42431.84743088347,,42431.84743088347
2024-01-01,,48757.8905429802,48757.8905429802
2024-02-01,,58221.55783359031,58221.55783359031
2024-03-01,,58693.48031401436,58693.48031401436
2024-04-01,,49832.46535205843,49832.46535205843
2024-05-01,,65378.116333430604,65378.116333430604
2024-06-01,,50482.46938946697,50482.46938946697
2024-07-01,,39313.59199458303,39313.59199458303
2024-08-01,,43077.481837420375,43077.481837420375
2024-09-01,,40992.92868648938,40992.92868648938
2024-10-01,,42419.73231580136,42419.73231580136
2024-11-01,,53088.49871390828,53088.49871390828
2024-12-01,,42350.31320231362,42350.31320231362
